14194 - ['36', '14', '3', '45', '32', '1', '38']
/***********************************************/
14193 - ['23', '6', '36', '29', '1', '9', '2']
14192 - ['28', '9', '35', '14', '1', '43', '37']
14191 - ['7', '39', '40', '11', '31', '16', '5']
14190 - ['21', '28', '41', '22', '31', '14', '11']

14189 - ['35', '39', '31', '25', '12', '23', '16']
/***********************************************/
14188 - ['5', '41', '14', '25', '38', '34', '31']
14187 - ['23', '3', '12', '7', '11', '8', '49']
14186 - ['19', '32', '29', '37', '10', '7', '21']
14185 - ['32', '4', '11', '7', '37', '9', '19']

14184 - ['16', '6', '28', '23', '8', '33', '37']
/***********************************************/
14183 - ['35', '10', '11', '45', '14', '16', '29']
14182 - ['4', '39', '43', '42', '24', '37', '11']
14181 - ['1', '35', '27', '7', '14', '28', '36']
14180 - ['24', '9', '15', '16', '44', '38', '49']

14179 - ['46', '41', '20', '15', '32', '25', '33']
/***********************************************/
14178 - ['20', '35', '22', '38', '31', '8', '19']
14177 - ['23', '37', '48', '5', '44', '39', '42']
14176 - ['24', '9', '43', '27', '4', '36', '2']
14175 - ['40', '3', '17', '2', '41', '16', '35']

14174 - ['6', '10', '23', '30', '11', '5', '39']
/***********************************************/
14173 - ['3', '34', '25', '39', '10', '36', '5']
14172 - ['40', '1', '43', '3', '13', '15', '33']
14171 - ['28', '35', '16', '47', '36', '34', '17']
14170 - ['15', '28', '44', '6', '27', '30', '35']

14169 - ['48', '26', '3', '39', '35', '22', '46']
/***********************************************/
14168 - ['5', '45', '35', '38', '42', '29', '47']
14167 - ['15', '8', '35', '22', '18', '28', '5']
14166 - ['2', '29', '23', '24', '49', '21', '18']
14165 - ['30', '3', '35', '14', '37', '48', '8']

14164 - ['35', '25', '47', '7', '10', '41', '12']
/***********************************************/
14163 - ['18', '28', '47', '1', '20', '36', '45']
14162 - ['25', '45', '43', '42', '44', '28', '6']
14161 - ['33', '41', '34', '28', '11', '32', '42']
14160 - ['11', '19', '28', '34', '42', '25', '46']

14159 - ['44', '34', '12', '38', '10', '18', '4']
/***********************************************/
14158 - ['9', '22', '38', '1', '13', '11', '16']
14157 - ['28', '37', '48', '36', '7', '38', '19']
14156 - ['30', '38', '33', '28', '44', '45', '4']
14155 - ['18', '2', '9', '35', '19', '39', '5']

